SeqID	sham_A1	sham_A2	sham_A3	day1_B2	day1_B3	day6_C1	day6_C2	day6_C3	day28_D1	day28_D2	day28_D3
AABR07000159.3|ENSRNOT00000082003	0.000	0.000	0.874	1.538	0.608	0.000	0.000	0.773	0.000	0.724	0.000
AABR07000248.1|ENSRNOT00000091348	30.088	30.363	30.669	17.442	15.397	24.213	14.031	17.997	14.388	13.568	22.253
AABR07000261.1|ENSRNOT00000056227	7.731	6.856	8.884	7.310	3.521	6.084	4.294	5.709	3.088	3.907	3.979
AABR07000276.1|ENSRNOT00000022273	0.371	0.627	0.369	0.000	0.000	0.302	0.000	0.325	0.245	0.316	0.621
AABR07000332.1|ENSRNOT00000072568	1.903	3.566	0.000	0.000	0.000	0.000	0.000	0.000	1.458	0.000	1.999
AABR07000382.1|ENSRNOT00000081586	0.576	0.955	1.417	1.868	0.749	0.861	1.366	0.989	0.429	0.170	1.180
AABR07000385.1|ENSRNOT00000089608	0.000	1.477	0.000	0.000	1.222	2.902	0.000	0.000	0.000	1.446	0.000
AABR07000385.2|ENSRNOT00000082588	0.724	0.988	0.948	0.652	0.532	0.492	0.393	0.540	0.545	0.595	0.506
AABR07000392.1|ENSRNOT00000081180	0.000	0.295	0.000	0.000	0.760	0.000	0.298	0.568	1.571	1.054	0.531
AABR07000398.1|ENSRNOT00000074325	215.073	134.762	143.471	166.376	219.559	251.727	1068.630	277.594	79.239	104.535	92.795
AABR07000398.2|ENSRNOT00000088595	0.000	0.295	0.000	0.000	0.760	0.000	0.298	0.568	1.571	1.054	0.531
AABR07000402.1|ENSRNOT00000087086	81.860	48.130	31.573	48.461	40.506	123.669	865.469	104.649	18.325	26.724	33.341
AABR07000404.1|ENSRNOT00000085584	81.860	48.130	31.573	48.461	40.506	123.669	865.469	104.649	18.325	26.724	33.341
AABR07000411.1|ENSRNOT00000087070	1.711	1.778	1.342	1.228	0.873	1.297	0.768	1.321	0.880	0.848	0.976
AABR07000451.1|ENSRNOT00000084609	1.932	1.633	0.959	2.534	4.005	0.789	0.643	2.548	1.836	1.586	0.788
AABR07000452.1|ENSRNOT00000090103	8.625	9.645	9.076	8.173	6.831	8.005	5.268	6.099	5.293	4.970	7.086
AABR07000458.1|ENSRNOT00000083696	0.000	14.711	0.000	1.910	3.348	4.982	1.310	5.514	1.380	1.798	2.389
AABR07000493.1|ENSRNOT00000085786	2.545	2.119	2.312	1.537	1.733	1.983	1.940	0.910	1.786	1.043	1.888
AABR07000497.1|ENSRNOT00000091752	0.000	0.000	0.000	0.000	0.955	0.000	1.853	1.289	1.019	2.586	0.000
AABR07000534.1|ENSRNOT00000072759	14.390	11.905	12.149	9.611	7.291	8.935	4.270	6.918	5.003	6.326	7.083
AABR07000574.1|ENSRNOT00000073419	17.960	17.122	13.383	22.511	14.392	14.438	14.623	14.948	13.457	10.662	10.237
AABR07000629.3|ENSRNOT00000071371	1.139	1.073	0.492	0.751	0.505	0.767	0.134	0.348	0.451	0.291	0.366
AABR07000639.1|ENSRNOT00000089617	0.000	0.000	0.959	0.845	0.667	0.000	0.000	0.000	0.000	0.000	0.000
AABR07000658.2|ENSRNOT00000086275	1.054	1.118	1.042	2.631	1.968	13.365	14.039	8.828	4.507	3.537	3.608
AABR07000714.2|ENSRNOT00000085871	0.451	0.000	0.449	1.965	0.620	0.733	1.197	0.788	0.294	0.380	0.750
